,name,url,description,type
0,General chat,https://www.whitedate.net/dating-site-for-white-people-groups/general-chat/,"A group where people can reach out to each other to connect and create a bond with the community.  Everybody is welcome in this group, so join in.Feel free to make a topic and start the conversation",Public Group
1,well become extinct soon if we do nothing,https://www.whitedate.net/dating-site-for-white-people-groups/we-will-extinct-soon-if-we-do-nothing/,"this is what i have learn, this group is more some of my analysis concerning the dating world and especially my very specific research,some few collected datas,intels,infos and my personnal reflections,seen has []",Public Group
2,White Delight Germany,https://www.whitedate.net/dating-site-for-white-people-groups/white-delight-germany/,Subscribe here if you wish to participate in or organize local leisure events. We will create sub-groups and appoint administrators as soon as geographical clusters appear. We imagine events such as discussion [],Public Group
3,The Divine Masculine & Feminine,https://www.whitedate.net/dating-site-for-white-people-groups/the-divine-masculine-feminine/,A philosophical discussion of the Man of Tradition & Woman of Tradition.,Public Group
4,White Watch Germany,https://www.whitedate.net/dating-site-for-white-people-groups/white-watch-germany/,"Join if you wish to help build a community of people interested in self-defense and survival skills: MMA teachers, hunters, preppers etc.With our societies getting increasingly unsafe and the economic system []",Public Group
5,Phoenix Rising,https://www.whitedate.net/dating-site-for-white-people-groups/phoenix-rising/,"Phoenix Rising is the home of Purebloodnot-dysgenic-GMO/not-vaxd-post-2019White Tribalists. We are the Decentralized Rsistance against the Synagogue of Satan (S0S), we seek to Transcend the fall of Wester []",Public Group
6,Vernetzung in Deutschland,https://www.whitedate.net/dating-site-for-white-people-groups/vernetzung-in-deutschland/,Hier knnt Ihr Euch vernetzen.,Public Group
7,The right one,https://www.whitedate.net/dating-site-for-white-people-groups/the-right-one/,"Making your standards understood, sharing the same ideals intentions.",Public Group
8,Rh-,https://www.whitedate.net/dating-site-for-white-people-groups/rh/,"Rhesus negative blood exists predominantly in white race and just like us, is disappearing at an alarming rate. A Rh- mothers body will try to kill a Rh+ child in her womb if not administered a RhoGAM []",Public Group
9,Odenic Rite,https://www.whitedate.net/dating-site-for-white-people-groups/odenic-rite/,A group for us so called pagans the Odinists. Join now and Ill cast the runes for you.,Public Group
10,Dating Strategy and Etiquette,https://www.whitedate.net/dating-site-for-white-people-groups/dating-strategy-and-etiquette/,Please sign up everybody who is interested in learning about how to behave during the dating phase. Post your questions in the forum and we will try to answer.,Public Group
11,Cat Lovers,https://www.whitedate.net/dating-site-for-white-people-groups/cat-lovers/,Who loves cats? Because I do.,Public Group
12,How to build White Communities,https://www.whitedate.net/dating-site-for-white-people-groups/how-to-build-white-communities/,There is a need for a New White Strategy when it comes to community building. Whites are naturally more individualistic and less nepotistic than other groups. This needs to change. How we can reset our minds and [],Public Group
13,White Delight UK,https://www.whitedate.net/dating-site-for-white-people-groups/white-delight-uk/,Subscribe here if you wish to participate in or organize local leisure events. We will create sub-groups and appoint administrators as soon as geographical clusters appear. We imagine events such as discussion [],Public Group
14,Dog Lovers,https://www.whitedate.net/dating-site-for-white-people-groups/dog-lovers/,How is there a Cat Lover group without there being a Dog group?,Public Group
15,Konige Europas,https://www.whitedate.net/dating-site-for-white-people-groups/konige-europas/,"The group for people who want to share their tales of action, travel, and adventure, and just being German.",Public Group
16,White Watch Italy,https://www.whitedate.net/dating-site-for-white-people-groups/white-watch-italy/,"Join if you wish to help build a community of people interested in self-defense and survival skills: MMA teachers, hunters, preppers etc.With our societies getting increasingly unsafe and the economic system []",Public Group
17,Whites health,https://www.whitedate.net/dating-site-for-white-people-groups/whites-health/,"All about real health. We have woken upFood, sport, natural medecines, mental health, ",Public Group
18,White Delight France,https://www.whitedate.net/dating-site-for-white-people-groups/white-delight-france/,Subscribe here if you wish to participate in or organize local leisure events. We will create sub-groups and appoint administrators as soon as geographical clusters appear. We imagine events such as discussion [],Public Group
19,Overcoming Cowardice  how White Men can get their balls back and how White Women can help,https://www.whitedate.net/dating-site-for-white-people-groups/overcoming-cowardice-how-white-men-can-get-their-balls-back-and-how-white-women-can-help/,We live at the greatest time in Mankinds History. Creature comforts abound and access to high living standards has never been easier. This advancement has come at a cost;  the atrophy of ruggedness.Weak Men [],Public Group
20,Summer 22,https://www.whitedate.net/dating-site-for-white-people-groups/summer-22/,New to the site. Seeing who all is active or if this place is in hibernation.,Public Group
21,Learners and Enthusiasts of European Languages,https://www.whitedate.net/dating-site-for-white-people-groups/learners-or-enthusiasts-of-european-languages/,"Join this group if you hold an interest in or are currently studying one of the many beautiful European languages! This is a place in which you can share tips, discuss effective ways of learning, etc.Treten Sie []",Public Group
